"code","descriptor","compcatid","cost","uom","id"
"","13th Month Pay","3DB13DBA636311E5B83800FF59FBB323",999.99,"TRAN","0611C759637011E5B83800FF59FBB323"
"","Marlboro Menthol 10","3E0380D3636311E5B83800FF59FBB323",17.40,"PACK","06156841637011E5B83800FF59FBB323"
"","Lipton Ice tea 1L","3DC1FC28636311E5B83800FF59FBB323",114.29,"PACK","0615D0AA637011E5B83800FF59FBB323"
"","Lipton tea","3DC1FC28636311E5B83800FF59FBB323",3.78,"SACHET","06163FD0637011E5B83800FF59FBB323"
"","Mango Juice","3DC1FC28636311E5B83800FF59FBB323",2.92,"ORDER","061B5CB3637011E5B83800FF59FBB323"
"","Mirinda","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN","061BC1EB637011E5B83800FF59FBB323"
"","Mountain Dew","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN","06229D04637011E5B83800FF59FBB323"
"","Mug","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN","06232D26637011E5B83800FF59FBB323"
"","Nestle Lemonade 1k","3DC1FC28636311E5B83800FF59FBB323",0.00,"KG","06261FD6637011E5B83800FF59FBB323"
"","Orange Juice","3DC1FC28636311E5B83800FF59FBB323",13.30,"ORDER","0626943E637011E5B83800FF59FBB323"
"","Pepsi","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN","062BFFD1637011E5B83800FF59FBB323"
"","Pepsi 500ml","3DC1FC28636311E5B83800FF59FBB323",19.83,"BOT","062C796C637011E5B83800FF59FBB323"
"","Marlboro Red 10's","3E0380D3636311E5B83800FF59FBB323",27.80,"PACK","062CE497637011E5B83800FF59FBB323"
"","Pepsi Light","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN","0631FF85637011E5B83800FF59FBB323"
"","Pepsi Max","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN","063278FF637011E5B83800FF59FBB323"
"","Pineapple Juice","3DC1FC28636311E5B83800FF59FBB323",13.30,"ORDER","06337BDB637011E5B83800FF59FBB323"
"","Royal","3DC1FC28636311E5B83800FF59FBB323",19.33,"CAN","0635A071637011E5B83800FF59FBB323"
"","Royal Dalandan","3DC1FC28636311E5B83800FF59FBB323",18.50,"CAN","0636419B637011E5B83800FF59FBB323"
"","Royal Grapes","3DC1FC28636311E5B83800FF59FBB323",18.50,"CAN","063BA471637011E5B83800FF59FBB323"
"","Sarsi","3DC1FC28636311E5B83800FF59FBB323",18.75,"CAN","063D947A637011E5B83800FF59FBB323"
"","Sarsi Light","3DC1FC28636311E5B83800FF59FBB323",20.42,"CAN","063EE520637011E5B83800FF59FBB323"
"","Sprite","3DC1FC28636311E5B83800FF59FBB323",14.25,"CAN","063FE7BB637011E5B83800FF59FBB323"
"","Sprite 500ml","3DC1FC28636311E5B83800FF59FBB323",16.00,"BOT","064072F5637011E5B83800FF59FBB323"
"","Marlboro Red Local","3E0380D3636311E5B83800FF59FBB323",53.60,"PACK","06410623637011E5B83800FF59FBB323"
"","Sprite Ice","3DC1FC28636311E5B83800FF59FBB323",18.50,"CAN","06456751637011E5B83800FF59FBB323"
"","Sprite Light","3DC1FC28636311E5B83800FF59FBB323",18.50,"CAN","0648B3FC637011E5B83800FF59FBB323"
"","Sprite Zero","3DC1FC28636311E5B83800FF59FBB323",18.50,"CAN","0649446C637011E5B83800FF59FBB323"
"","Upgrade Softdrink","3DC1FC28636311E5B83800FF59FBB323",0.00,"CAN","0649D868637011E5B83800FF59FBB323"
"","Cuervo 1800","3DC6C2CD636311E5B83800FF59FBB323",28.80,"SHOT","064A60F4637011E5B83800FF59FBB323"
"","Cuervo Gold Liter","3DC6C2CD636311E5B83800FF59FBB323",22.73,"SHOT","064AE995637011E5B83800FF59FBB323"
"","Cuervo Gold Regular","3DC6C2CD636311E5B83800FF59FBB323",21.74,"SHOT","064F31EC637011E5B83800FF59FBB323"
"","Don Enrique","3DC6C2CD636311E5B83800FF59FBB323",8.65,"SHOT","064FBEFB637011E5B83800FF59FBB323"
"","Hornitos","3DC6C2CD636311E5B83800FF59FBB323",31.60,"SHOT","0650391C637011E5B83800FF59FBB323"
"","Local Tequila","3DC6C2CD636311E5B83800FF59FBB323",6.52,"SHOT","0650A826637011E5B83800FF59FBB323"
"","Philip Morris","3E0380D3636311E5B83800FF59FBB323",31.00,"PACK","065110E9637011E5B83800FF59FBB323"
"","Pepe Lopez","3DC6C2CD636311E5B83800FF59FBB323",19.80,"SHOT","06518770637011E5B83800FF59FBB323"
"","Pepe Lopez Reg.","3DC6C2CD636311E5B83800FF59FBB323",0.00,"SHOT","0651F94B637011E5B83800FF59FBB323"
"","Tequila Rose","3DC6C2CD636311E5B83800FF59FBB323",22.00,"SHOT","065280C9637011E5B83800FF59FBB323"
"","Tequila Sauza","3DC6C2CD636311E5B83800FF59FBB323",20.80,"SHOT","065671D3637011E5B83800FF59FBB323"
"","Absente","3DC815F8636311E5B83800FF59FBB323",0.00,"SHOT","0656E9AE637011E5B83800FF59FBB323"
"","Absolut Mandarin","3DC815F8636311E5B83800FF59FBB323",0.00,"SHOT","065BF6FA637011E5B83800FF59FBB323"
"","Absolut Vodka Liter","3DC815F8636311E5B83800FF59FBB323",16.67,"SHOT","065C661C637011E5B83800FF59FBB323"
